Product Name,Brand,Category,Price (₹),Ingredients,Calories,Protein (g),Fat (g),Carbohydrates (g),Health Tags,Popularity Score,Weight(grams),Barcode
Palm Oil,GreenFresh,Oils,160.35,Palm fruit,90,10.2,23.3,56.6,High Saturated Fat,4.6,100,1234500080
Salt,FarmPure,Essentials,143.15,Iodized salt,71,9.8,9.8,50.6,"Neutral GI, Use Moderately",4.7,100,1234500081
Sugar,NutriGo,Essentials,323.13,Refined sugar,265,8.3,18.3,64.1,"High GI, High Calorie",3.8,100,1234500082
Turmeric,QuickPick,Spices,495.02,Ground turmeric root,72,17.5,12.6,70.1,"Anti-inflammatory, Low GI",4.6,100,1234500083
Cumin Seeds,TastyBites,Spices,146.74,Dried cumin seeds,584,13.1,16.6,78.2,"Digestive Aid, Low GI",2.8,100,1234500084
Tomato Ketchup,TastyBites,Condiments,179.98,"Tomatoes, Sugar, Vinegar",407,15.9,13,27.7,"High Sugar, Processed",2.6,100,1234500085
Green Tea,HealthyLife,Beverages,239.21,Dried green tea leaves,402,11.5,23.3,37.8,"Low GI, Antioxidant, Metabolism Booster",4.6,100,1234500086
Ketchup Chips,QuickPick,Snacks,436.9,"Potato, Oil, Ketchup Flavouring",412,18.3,6.5,16.4,"High Fat, High Sodium, Artificial Flavoring",1.8,100,1234500087
Soy Sauce,SuperMart,Condiments,37.52,"Soybeans, Salt, Preservatives",81,6.8,1.7,39.2,"High Sodium, Umami Flavor",3.1,100,1234500088
Brown Bread,NutriGo,Bakery,13.29,"Whole wheat flour, Yeast",393,19.6,2.8,14.3,"Moderate GI, Higher Fiber than White Bread",2.6,100,1234500089
Lassi,QuickPick,Dairy/Beverage,406.63,"Curd, Water, Sugar/Salt",351,11.6,13,26,"Moderate GI, Probiotic, May Contain Sugar",4.8,100,1234500090
Honey,FarmPure,Condiments,421.25,Natural honey,128,15.9,6.2,51,"High GI, Antibacterial, Natural Sweetener",3,100,1234500091
Trail Mix,TastyBites,Snacks,285,"Nuts, Seeds, Dried Fruits",528,17.4,22.7,25.8,"Moderate GI, Energy Dense, Healthy Fats",4.5,100,1234500092
Rice Cakes,GreenFresh,Snacks,134.32,"Puffed rice, Salt",247,14.3,19.1,36.7,"High GI, Low Calorie, Low Nutrition",4.2,100,1234500093
Multigrain Atta,ValueChoice,Grains,72.14,"Wheat, Millet, Barley",317,17.6,0.8,46.1,"Low GI, High Fiber, Heart Healthy",2.4,100,1234500094
Buttermilk,NutriGo,Beverage,14.05,"Curd, Water, Spices",249,13.6,10.2,23.1,"Low GI, Probiotic, Cooling",2.2,100,1234500095
Coconut Water,TastyBites,Beverage,288.33,Natural coconut water,161,5.7,20.7,9.4,"Low GI, Electrolytes, Hydrating",1.7,100,1234500096
Chicken Nuggets,QuickPick,Frozen Foods,35.19,"Chicken, Maida, Oil",355,19.5,3.2,50.5,"High Fat, Processed, High Sodium",2.8,100,1234500097
Vegetable Soup Mix,NutriGo,Ready-to-Eat,104.5,"Dehydrated veggies, Salt, Spices",405,3.1,8.2,62.4,"Low GI, High Sodium (Instant)",3.8,100,1234500098
Bhel Mix,FarmPure,Snacks,151.61,"Puffed rice, Spices, Salt",76,13.2,23.4,55.1,"Moderate GI, Spicy, Low Calorie",1,100,1234500099
